"","new_genes","BR1_15","BR1_30","BR1_60","BR1_75","BR3_15","BR3_30","BR3_60","BR3_75","BR4_15","BR4_30","BR4_60","BR4_75","BR5_15","BR5_30","BR5_60","BR5_75","old_genes"
"1895","SACI_RS09950",184.33841848311,174.235545425613,106.162791222508,194.29470317415,187.077472005534,206.312371127442,95.1787506709971,172.858582568608,134.767388059324,111.990103151039,79.7774491868778,170.60641269605,153.603473003716,104.903225165979,83.526836031022,203.466845246675,"Saci_2058"
"1896","SACI_RS09955",13.3578564118195,12.6716760309537,13.5116279737738,15.1792736854805,16.5068357651942,2.71463646220319,15.4343920007022,9.26028120903259,20.3422472542376,12.1070381784907,7.4791358612698,4.73906701933473,12.5904486068619,9.99078334914086,22.7800461902787,8.47778521861146,"Saci_2059"
"1897","SACI_RS09960",2.67157128236391,6.33583801547684,3.86046513536393,3.03585473709609,2.75113929419903,2.71463646220319,0,0,0,3.02675954462268,2.49304528708993,18.9562680773389,0,9.99078334914086,10.1244649734572,11.3037136248153,"Saci_2060"
"1898","SACI_RS09965",0,6.33583801547684,1.93023256768196,0,2.75113929419903,5.42927292440638,0,9.26028120903259,0,6.05351908924536,4.98609057417986,9.47813403866945,2.51808972137239,9.99078334914086,2.5311162433643,11.3037136248153,"Saci_2061"
"1899","SACI_RS09970",24.0441415412752,19.0075140464305,30.8837210829114,27.3226926338649,41.2670894129855,19.0024552354223,15.4343920007022,18.5205624180652,22.8850281610173,21.1873168123588,24.9304528708993,28.4344021160083,22.6628074923515,9.99078334914086,25.311162433643,22.6074272496306,"Saci_2062"
"1900","SACI_RS09975",32.0588553883669,50.6867041238147,32.8139536505934,15.1792736854805,90.7875967085681,51.5780927818606,30.8687840014045,15.4338020150543,40.6844945084752,42.3746336247175,29.9165434450792,0,60.4341533129373,44.9585250711339,43.0289761371931,28.2592840620382,"Saci_2063"
"1901","SACI_RS09980",37.4019979530947,50.6867041238147,25.0930233798655,42.5019663193453,35.7648108245874,35.2902740086415,28.2963853346208,46.301406045163,50.855618135594,30.2675954462268,37.395679306349,42.6516031740125,35.2532560992134,39.9631333965634,27.8422786770073,39.5629976868535,"Saci_2064"
"1902","SACI_RS09985",152.279563094743,167.899707410136,291.465117719977,109.290770535459,132.054686121554,157.448914807785,272.674258679073,95.6895724933368,147.481292593223,133.177419963398,244.318438134813,170.60641269605,151.085383282343,159.852533586254,222.738229416059,107.385279435745,"Saci_2065"
"1903","SACI_RS09990",2.67157128236391,3.16791900773842,1.93023256768196,6.07170947419219,16.5068357651942,2.71463646220319,0,9.26028120903259,0,6.05351908924536,0,4.73906701933473,2.51808972137239,0,0,11.3037136248153,"Saci_2066"
"1904","SACI_RS10000",13.3578564118195,9.50375702321526,0,6.07170947419219,8.2534178825971,2.71463646220319,2.57239866678371,15.4338020150543,7.6283427203391,12.1070381784907,4.98609057417986,9.47813403866945,2.51808972137239,4.99539167457043,10.1244649734572,2.82592840620382,"Saci_2068"
"1905","SACI_RS10005",2.67157128236391,15.8395950386921,7.72093027072786,12.1434189483844,0,0,7.71719600035112,6.17352080602173,2.5427809067797,15.1337977231134,4.98609057417986,0,7.55426916411717,0,5.0622324867286,8.47778521861146,"Saci_2069"
